MN02	MN03	MN04	MN05	MN06	MN07	MN09	MN10	MN11	MN12	MN13	MN14	MN15	MN16	MN17	MQ18	MQ19	
0	0	0	0	12	29	16	0	0	0	0	0	0	0	0	0	0	Listriodon
1	1	9	32	10	11	5	0	0	0	0	0	0	0	0	0	0	Brachypotherium
0	1	1	1	11	15	10	4	1	0	0	0	0	0	0	0	0	Alicornops
0	0	0	1	2	2	4	0	0	0	0	0	0	0	0	0	0	Dicerorhinus
0	13	22	50	16	14	4	0	0	0	0	0	0	0	0	0	0	Anchitherium
0	0	17	46	9	7	9	2	3	0	0	0	0	0	0	0	0	Dorcatherium
0	5	17	32	14	14	6	0	0	0	0	0	0	0	0	0	0	Palaeomeryx
0	0	2	11	23	21	10	8	3	0	0	0	0	0	0	0	0	Micromeryx
0	0	1	7	12	3	1	0	0	0	0	0	0	0	0	0	0	Heteroprox
0	0	0	3	5	24	16	2	2	1	0	0	0	0	0	0	0	Euprox
1	3	25	44	11	22	8	0	0	0	0	0	0	0	0	0	0	Gomphotherium
3	2	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	Metaschizotherium
0	0	0	4	6	2	4	0	0	0	0	0	0	0	0	0	0	Hoploaceratherium
0	0	4	13	7	11	5	0	0	0	0	0	0	0	0	0	0	Lartetotherium
0	0	0	8	12	4	4	0	0	0	0	0	0	0	0	0	0	Pliopithecus
0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	Plesiopliopithecus
0	0	1	14	5	6	6	3	1	0	0	0	0	0	0	0	0	Anisodon
0	0	1	22	10	4	2	0	0	0	0	0	0	0	0	0	0	Dicrocerus
0	0	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	Archaeobelodon
0	0	2	16	10	8	6	0	0	4	4	0	0	0	0	0	0	Zygolophodon
0	0	2	1	5	27	25	6	5	5	0	0	0	0	0	0	0	Deinotherium
0	0	9	17	5	7	0	0	0	0	0	0	0	0	0	0	0	Eotragus
0	1	9	29	6	4	5	0	0	0	0	0	0	0	0	0	0	Prodeinotherium
0	0	0	0	0	9	5	0	0	0	0	0	0	0	0	0	0	Dryopithecus
0	0	0	0	0	12	6	0	0	0	0	0	0	0	0	0	0	Protragocerus
0	0	0	11	7	3	0	0	0	0	0	0	0	0	0	0	0	Tethytragus
0	8	16	30	7	2	0	0	1	0	0	0	0	0	0	0	0	Lagomeryx
0	17	28	34	0	0	0	0	0	0	0	0	0	0	0	0	0	Procervulus
0	1	7	24	4	0	0	0	0	0	0	0	0	0	0	0	0	Amphimoschus
1	9	14	22	3	0	0	0	0	0	0	0	0	0	0	0	0	Plesiaceratherium
0	2	10	24	2	1	0	0	0	0	0	0	0	0	0	0	0	Prosantorhinus
11	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Protaceratherium
1	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Brachyodus
