Duchesnean	Chadronian-1	Chadronian-2	Chadronian-3	Chadronian-4	Arikareean-1	Arikareean-2	Arikareean-3	Arikareean-4	Hemingfordian-1	Hemingfordian-2	Barstovian-1	Barstovian-2	Clarendonian-1	Clarendonian-2	Clarendonian-3	Hemphillian-1	Hemphillian-2	Hemphillian-3	Hemphillian-4	Blancan-Early	Blancan-Late	
0	0	0	0	0	10	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sespia
0	0	0	0	0	13	10	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Eporeodon
0	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Miotylopus
0	0	0	0	0	9	2	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Nanotragulus
0	1	1	3	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Subhyracodon
0	0	1	0	3	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hypertragulus
0	0	0	0	0	8	6	6	4	4	1	1	0	0	0	0	0	0	0	0	0	0	Diceratherium
0	0	0	0	0	1	0	4	3	0	0	1	0	0	0	0	0	0	0	0	0	0	Kalobatippus
0	0	0	0	0	0	0	5	8	15	12	9	13	2	17	11	1	1	1	0	0	0	Merychyus
0	0	0	0	0	0	2	6	4	1	2	0	0	0	0	0	0	0	0	0	0	0	Stenomylus
0	0	0	0	0	0	0	0	1	0	7	12	7	1	0	0	0	0	0	0	0	0	Miolabis
0	0	0	0	0	0	0	4	5	10	3	3	2	0	0	0	0	0	0	0	0	0	Parahippus
0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	Tanymykter
0	0	0	0	0	0	0	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	Pseudoblastomeryx
0	0	0	0	0	0	0	1	1	7	6	8	5	0	0	0	0	0	0	0	0	0	Archaeohippus
0	0	0	0	0	0	0	0	0	4	9	17	20	2	4	0	0	0	0	0	0	0	Merychippus
0	0	0	0	0	0	0	1	0	7	5	0	0	0	0	0	0	0	0	0	0	0	Anchitherium
0	0	0	0	0	0	0	0	0	1	4	12	5	0	0	0	0	0	0	0	0	0	Ticholeptus
0	0	0	0	0	0	0	0	0	1	6	15	15	1	6	1	2	0	0	0	0	0	Aepycamelus
0	0	0	0	0	0	0	1	0	4	6	9	11	0	3	1	0	0	1	1	0	0	Merycodus
0	0	0	0	0	0	0	0	0	2	6	2	0	0	0	0	0	0	0	0	0	0	Parapliohippus
0	0	0	0	0	0	0	0	0	0	5	15	3	0	0	0	0	0	0	0	0	0	Acritohippus
0	0	0	0	0	0	0	0	0	0	9	16	4	0	0	0	0	0	0	0	0	0	Brachycrus
0	0	0	0	0	0	0	0	0	0	0	4	7	1	11	4	0	1	0	0	0	0	Cranioceras
0	0	0	0	0	0	0	0	0	1	3	18	12	1	6	3	0	0	0	0	0	0	Hypohippus
0	0	0	0	0	0	0	1	2	3	3	5	1	0	0	0	0	0	0	0	0	0	Hesperhys
0	0	0	0	0	0	0	0	0	4	7	7	13	1	9	1	0	0	0	0	0	0	Protolabis
0	0	0	0	0	0	0	0	0	0	3	10	1	0	0	0	0	0	0	0	0	0	Rakomeryx
0	0	0	0	0	0	0	0	0	1	6	8	3	0	0	0	0	0	0	0	0	0	Paramiolabis
0	0	0	0	0	0	0	0	0	0	0	1	11	0	9	4	2	2	2	2	0	0	Gomphotherium
0	0	0	0	0	0	0	0	0	0	0	2	9	1	4	0	0	0	0	0	0	0	Ramoceros
0	0	0	0	0	0	0	0	0	0	0	4	5	1	10	4	0	0	0	0	0	0	Cosoryx
0	0	0	0	0	0	0	0	0	0	0	3	9	2	5	1	0	0	0	0	0	0	Megahippus
0	0	0	0	0	0	0	0	0	0	0	2	8	3	16	6	6	7	5	2	0	0	Cormohipparion
0	0	0	0	0	0	0	0	0	0	0	2	9	3	15	7	7	6	3	1	1	0	Pliohippus
0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	4	13	10	6	5	7	2	Megatylopus
0	0	0	0	0	0	0	0	0	3	6	7	7	0	0	0	0	0	0	0	0	0	Bouromeryx
0	0	0	0	0	0	0	0	0	0	4	16	9	0	2	0	0	0	0	0	0	0	Dromomeryx
0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	1	0	0	0	0	0	0	Hesperocamelus
0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	Scaphohippus
0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	Cynorca
0	0	0	0	0	0	0	1	3	4	7	5	7	0	4	0	1	0	0	0	0	0	Michenia
